# نتایج جستجوی یوتیوب
# کلمه جستجو: SCARLXRD AFN
# مرتب‌سازی: relevance (مرتبط‌ترین)
# تعداد درخواستی: 10
# تاریخ: 2026-05-13 23:52:19

لینک | عنوان ویدیو | کانال | بازدیدها | مدت زمان
-----|------------|------|---------|-----------
https://www.youtube.com/watch?v=t7aLdyC0rZE | [FREE] SCARLXRD x YEAT x SOSMULA x LIL CARTY "GUN SPORT" [PROD.DISXRDER] | PROD.DISXRDER | 575 | 2:30
https://www.youtube.com/watch?v=yiJA5F6rCIU | XXXTENTACION x ScarLxrd Type Beat - "RAZA" | Angelo Giovanni | 102 | 3:42
https://www.youtube.com/watch?v=Ur3okdlUQW8 | Hutchthegift - I Am Legend ft RepXL (Official Music Video) | LFTFLD | 746 | 2:41
https://www.youtube.com/watch?v=zkUk58UXNBA | [FREE] BVDLVD x Scarlxrd Type Beat - Trust You (prod. Mode$t0) | Mode$t0 Beats | 277 | 2:20
https://www.youtube.com/watch?v=OAlTqbf1H9E | [FREE] $UICIDEBOY$ x GHOSTEMANE x SCARLXRD type beat | HIT BEATZ | 52 | 3:05
https://www.youtube.com/watch?v=K0XTalBGqOw | XAVIER WULF x SCARLXRD TYPE BEAT [2019] "Sakura" (Prod. MJKHVXXL) | MICHVXXL GXNZVLXXZ | 91 | 3:28
https://www.youtube.com/watch?v=lMdB4_JFOKU | FCF Venom- Choose Up (Official Music Video) Dir. By: @marvdidthat | Marv Did That | 26910 | 2:43
https://www.youtube.com/watch?v=Iwl9J_CtyWY | 2x Felon | Baby Osama | 336 | 2:38
https://www.youtube.com/watch?v=7mFoEG8hZnA | "don't know" type beat xxxtentacion x lil peep sad emotional | Darwin Beat | 780 | 1:47
https://www.youtube.com/watch?v=YwQZ9UGan-k | "don't go" type beat xxxtentacion sad emotional | Darwin Beat | 2539 | 2:52
